Movimiento,Jugador,Acción,Pieza,Pieza Index,Posición,Posición Index,Intento,Tablero
1,Mateo,selected,"LITTLE, WHITE, SQUARE, WITHOUT_HOLE",6,N/A,N/A,1,N/A
2,Mathew,placed,N/A,N/A,"(0, 0)",0,1,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3,Mathew,selected,"LITTLE, BLACK, CIRCLE, WITHOUT_HOLE",0,N/A,N/A,1,N/A
4,Mateo,placed,N/A,N/A,"(1, 3)",7,1,0000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5,Mateo,selected,"LITTLE, BLACK, SQUARE, WITHOUT_HOLE",2,N/A,N/A,1,N/A
6,Mathew,placed,N/A,N/A,"(0, 1)",1,1,0000000100000000000000000000000001000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7,Mathew,selected,"LITTLE, BLACK, CIRCLE, WITH_HOLE",1,N/A,N/A,1,N/A
8,Mateo,placed,N/A,N/A,"(1, 1)",5,1,0000000100000000000001000000000001000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9,Mateo,selected,"LITTLE, WHITE, SQUARE, WITH_HOLE",7,N/A,N/A,1,N/A
10,Mathew,placed,N/A,N/A,"(0, 2)",2,1,0000000100000000000001000000000001000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
11,Mathew,selected,"TALL, BLACK, CIRCLE, WITHOUT_HOLE",8,N/A,N/A,1,N/A
12,Mateo,placed,N/A,N/A,"(2, 2)",10,1,0000000100000000000001000000000001000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
13,Mateo,selected,"TALL, WHITE, CIRCLE, WITH_HOLE",13,N/A,N/A,1,N/A
14,Mathew,placed,N/A,N/A,"(0, 3)",3,1,0000000100000000000001000000000001000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000
15,Mathew,selected,"LITTLE, BLACK, SQUARE, WITH_HOLE",3,N/A,N/A,1,N/A
16,Mateo,placed,N/A,N/A,"(3, 0)",12,1,0000000100000000000001000000000001000000000000000000000000001000000000000000000000000000000000001000000000000000001000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000
17,Mateo,selected,"TALL, WHITE, SQUARE, WITH_HOLE",15,N/A,N/A,1,N/A
18,Mathew,placed,N/A,N/A,"(1, 0)",4,1,0000000100000000000001000000000001000000000000000000000000001000000000000000000000000000000000001000000000000000001000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000100000000000
19,Mathew,selected,"LITTLE, WHITE, CIRCLE, WITHOUT_HOLE",4,N/A,N/A,1,N/A
20,Mateo,placed,N/A,N/A,"(3, 2)",14,1,0000000100000000000001000000000001000000000000000000000000001000000000000000001000000000000000001000000000000000001000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000100000000000
21,Mateo,selected,"TALL, BLACK, SQUARE, WITH_HOLE",11,N/A,N/A,1,N/A
22,Mathew,placed,N/A,N/A,"(2, 0)",8,1,0000000100000000000001000000000001000000000000000000000000001000000000000000001000000000000000001000000000000000001000000000000000000000001000000000000000000000000000000000000000000000100000000000000000000000000100000000000000000000000000000000100000000000

Ganador,Mathew
