Movimiento,Jugador,Acción,Pieza,Pieza Index,Posición,Posición Index,Intento,Tablero
1,Human_bot,selected,"TALL, BLACK, CIRCLE, WITHOUT_HOLE",8,N/A,N/A,1,N/A
2,RandomBot,placed,N/A,N/A,"(0, 0)",0,1,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3,RandomBot,selected,"LITTLE, WHITE, CIRCLE, WITHOUT_HOLE",4,N/A,N/A,1,N/A
4,Human_bot,placed,N/A,N/A,"(1, 0)",4,1,0000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5,Human_bot,selected,"TALL, BLACK, CIRCLE, WITH_HOLE",9,N/A,N/A,1,N/A
6,RandomBot,placed,N/A,N/A,"(3, 3)",15,1,0000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000010000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7,RandomBot,selected,"TALL, BLACK, SQUARE, WITH_HOLE",11,N/A,N/A,1,N/A
8,Human_bot,placed,N/A,N/A,"(2, 0)",8,1,0000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000010000000000000000000000000000001000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000
9,Human_bot,selected,"TALL, WHITE, CIRCLE, WITHOUT_HOLE",12,N/A,N/A,1,N/A
10,RandomBot,placed,N/A,N/A,"(2, 3)",11,1,0000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000010000000000000000000000000000001000000000000000000000000100000000000000000010000000000000000000000000000000000000000000000000000
11,RandomBot,selected,"LITTLE, BLACK, SQUARE, WITHOUT_HOLE",2,N/A,N/A,1,N/A
12,Human_bot,placed,N/A,N/A,"(0, 1)",1,1,0000000000000000000000000000000001000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000010000000000000000000000000000001000000000000000000000000100000000000000000010000000000000000000000000000000000000000000000000000
13,Human_bot,selected,"LITTLE, BLACK, CIRCLE, WITHOUT_HOLE",0,N/A,N/A,1,N/A
14,RandomBot,placed,N/A,N/A,"(0, 3)",3,1,0001000000000000000000000000000001000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000010000000000000000000000000000001000000000000000000000000100000000000000000010000000000000000000000000000000000000000000000000000
15,RandomBot,selected,"LITTLE, WHITE, SQUARE, WITHOUT_HOLE",6,N/A,N/A,1,N/A
16,Human_bot,placed,N/A,N/A,"(1, 1)",5,1,0001000000000000000000000000000001000000000000000000000000000000000010000000000000000000000000000000010000000000000000000000000010000000000000000000000000000001000000000000000000000000100000000000000000010000000000000000000000000000000000000000000000000000
17,Human_bot,selected,"TALL, WHITE, CIRCLE, WITH_HOLE",13,N/A,N/A,1,N/A
18,RandomBot,placed,N/A,N/A,"(1, 3)",7,1,0001000000000000000000000000000001000000000000000000000000000000000010000000000000000000000000000000010000000000000000000000000010000000000000000000000000000001000000000000000000000000100000000000000000010000000000010000000000000000000000000000000000000000

Ganador,RandomBot
